Method,LLM,Pearson Correlation,Pearson 95% CI,Kendall (mean per question),Kendall 95% CI
LLM-as-judge,gemma3:4b,-0.632,"[-0.685, -0.576]",-0.791,"[-0.815, -0.766]"
LLM-as-judge,llama3.3:70b,-0.741,"[-0.782, -0.696]",-0.858,"[-0.880, -0.836]"
LLM-as-judge,mistral-small3.1:24b,-0.707,"[-0.752, -0.656]",-0.756,"[-0.787, -0.715]"
LLM-as-judge,phi4:14b,-0.743,"[-0.784, -0.699]",-0.807,"[-0.832, -0.780]"
LLM-as-judge,prometheus-v2:7b,-0.615,"[-0.669, -0.555]",-0.703,"[-0.746, -0.657]"
LLM-as-judge,qwen2.5:7b,-0.627,"[-0.680, -0.570]",-0.718,"[-0.759, -0.673]"
default,gpt-4o-mini,-0.873,"[-0.896, -0.849]",-0.95,"[-0.968, -0.930]"
fast-fc,gemma3:12b-it-qat,-0.822,"[-0.852, -0.788]",-0.96,"[-0.976, -0.943]"
fast-fc,llama3.3:70b,-0.83,"[-0.858, -0.799]",-0.943,"[-0.964, -0.919]"
